ranking,player_image,name,position,age,nation_image,nation,team_image,team,value
1,https://img.a.transfermarkt.technology/portrait/small/342229-1602849394.jpg?lm=1,Kylian Mbappé,Centre-Forward,22,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,Paris Saint-Germain,€160.00m
2,https://img.a.transfermarkt.technology/portrait/small/132098-1599986552.jpg?lm=1,Harry Kane,Centre-Forward,27,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/148.png?lm=1544345801,Tottenham Hotspur,€120.00m
3,https://img.a.transfermarkt.technology/portrait/small/418560-1607454139.jpg?lm=1,Erling Haaland,Centre-Forward,20,https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569,Norway,https://tmssl.akamaized.net/images/wappen/verysmall/16.png?lm=1396275280,Borussia Dortmund,€110.00m
4,https://img.a.transfermarkt.technology/portrait/small/148455-1546611604.jpg?lm=1,Mohamed Salah,Right Winger,28,https://tmssl.akamaized.net/images/flagge/verysmall/2.png?lm=1520611569,Egypt,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,Liverpool FC,€110.00m
5,https://img.a.transfermarkt.technology/portrait/small/68290-1602849593.jpg?lm=1,Neymar,Left Winger,29,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Brazil,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,Paris Saint-Germain,€110.00m
6,https://img.a.transfermarkt.technology/portrait/small/401173-1567086818.jpg?lm=1,Jadon Sancho,Right Winger,21,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/16.png?lm=1396275280,Borussia Dortmund,€100.00m
7,https://img.a.transfermarkt.technology/portrait/small/314353-1559826986.jpg?lm=1,Trent Alexander-Arnold,Right-Back,22,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,Liverpool FC,€100.00m
8,https://img.a.transfermarkt.technology/portrait/small/200512-1559901727.jpg?lm=1,Sadio Mané,Left Winger,29,https://tmssl.akamaized.net/images/flagge/verysmall/149.png?lm=1520611569,Senegal,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,Liverpool FC,€100.00m
9,https://img.a.transfermarkt.technology/portrait/small/134425-1577051521.jpg?lm=1,Raheem Sterling,Left Winger,26,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,Manchester City,€100.00m
10,https://img.a.transfermarkt.technology/portrait/small/88755-1515761259.jpg?lm=1,Kevin De Bruyne,Attacking Midfield,29,https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569,Belgium,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,Manchester City,€100.00m
11,https://img.a.transfermarkt.technology/portrait/small/240306-1580389882.jpg?lm=1,Bruno Fernandes,Attacking Midfield,26,https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569,Portugal,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,Manchester United,€90.00m
12,https://img.a.transfermarkt.technology/portrait/small/161056-1570373037.jpg?lm=1,Joshua Kimmich,Defensive Midfield,26,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,Germany,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,Bayern Munich,€90.00m
13,https://img.a.transfermarkt.technology/portrait/small/121483-1599986864.jpg?lm=1,Jan Oblak,Goalkeeper,28,https://tmssl.akamaized.net/images/flagge/verysmall/155.png?lm=1520611569,Slovenia,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,Atlético Madrid,€90.00m
14,https://img.a.transfermarkt.technology/portrait/small/96341-1596033546.jpg?lm=1,Romelu Lukaku,Centre-Forward,27,https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569,Belgium,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1618900989,Inter Milan,€90.00m
15,https://img.a.transfermarkt.technology/portrait/small/258923-1565603308.png?lm=1,Marcus Rashford,Left Winger,23,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,Manchester United,€85.00m
16,https://img.a.transfermarkt.technology/portrait/small/91845-1599987413.jpg?lm=1,Heung-min Son,Left Winger,28,https://tmssl.akamaized.net/images/flagge/verysmall/87.png?lm=1520611569,"Korea, South",https://tmssl.akamaized.net/images/wappen/verysmall/148.png?lm=1544345801,Tottenham Hotspur,€85.00m
17,https://img.a.transfermarkt.technology/portrait/small/466810-1560761660.jpg?lm=1,Ansu Fati,Left Winger,18,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Spain,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,FC Barcelona,€80.00m
